alert_id,txn_id,rule_id,rule_name,severity
ALT141,TXN141,R006,Funnel Account,Low
ALT143,TXN143,R002,Dormant Account Activity,Medium
ALT144,TXN144,R002,Dormant Account Activity,Medium
ALT147,TXN147,R002,Dormant Account Activity,Medium
ALT149,TXN149,R001,Large Deposit,High
ALT151,TXN151,R002,Dormant Account Activity,Medium
ALT153,TXN153,R001,Large Deposit,High
ALT155,TXN155,R001,Large Deposit,High
ALT156,TXN156,R002,Dormant Account Activity,Medium
ALT157,TXN157,R006,Funnel Account,Low
ALT158,TXN158,R006,Funnel Account,Low
ALT159,TXN159,R001,Large Deposit,High
ALT161,TXN161,R001,Large Deposit,High
ALT162,TXN162,R006,Funnel Account,Low
ALT163,TXN163,R002,Dormant Account Activity,Medium
ALT164,TXN164,R001,Large Deposit,High
ALT165,TXN165,R002,Dormant Account Activity,Medium
ALT166,TXN166,R001,Large Deposit,High
ALT167,TXN167,R002,Dormant Account Activity,Medium
ALT169,TXN169,R005,Mule Account Pattern,High
ALT170,TXN170,R002,Dormant Account Activity,Medium
ALT173,TXN173,R001,Large Deposit,High
ALT174,TXN174,R001,Large Deposit,High
ALT176,TXN176,R001,Large Deposit,High
ALT178,TXN178,R001,Large Deposit,High
ALT179,TXN179,R001,Large Deposit,High
ALT180,TXN180,R005,Mule Account Pattern,High
ALT184,TXN184,R001,Large Deposit,High
ALT185,TXN185,R005,Mule Account Pattern,High
ALT187,TXN187,R006,Funnel Account,Low
ALT188,TXN188,R001,Large Deposit,High
ALT191,TXN191,R001,Large Deposit,High
ALT196,TXN196,R002,Dormant Account Activity,Medium
ALT197,TXN197,R002,Dormant Account Activity,Medium
ALT198,TXN198,R001,Large Deposit,High
ALT199,TXN199,R002,Dormant Account Activity,Medium
ALT200,TXN200,R001,Large Deposit,High
ALT203,TXN203,R002,Dormant Account Activity,Medium
ALT204,TXN204,R005,Mule Account Pattern,High
ALT205,TXN205,R005,Mule Account Pattern,High
ALT206,TXN206,R006,Funnel Account,Low
ALT207,TXN207,R001,Large Deposit,High
ALT208,TXN208,R002,Dormant Account Activity,Medium
ALT209,TXN209,R006,Funnel Account,Low
ALT210,TXN210,R002,Dormant Account Activity,Medium
ALT211,TXN211,R001,Large Deposit,High
ALT212,TXN212,R001,Large Deposit,High
ALT213,TXN213,R001,Large Deposit,High
ALT214,TXN214,R001,Large Deposit,High
ALT215,TXN215,R002,Dormant Account Activity,Medium
ALT216,TXN216,R002,Dormant Account Activity,Medium
ALT218,TXN218,R006,Funnel Account,Low
ALT219,TXN219,R001,Large Deposit,High
ALT220,TXN220,R003,Structuring,High
ALT222,TXN222,R001,Large Deposit,High
ALT223,TXN223,R001,Large Deposit,High
ALT225,TXN225,R001,Large Deposit,High
ALT226,TXN226,R002,Dormant Account Activity,Medium
ALT227,TXN227,R001,Large Deposit,High
ALT228,TXN228,R001,Large Deposit,High
ALT229,TXN229,R001,Large Deposit,High
ALT230,TXN230,R002,Dormant Account Activity,Medium
ALT231,TXN231,R001,Large Deposit,High
ALT232,TXN232,R001,Large Deposit,High
ALT233,TXN233,R002,Dormant Account Activity,Medium
ALT234,TXN234,R001,Large Deposit,High
ALT235,TXN235,R002,Dormant Account Activity,Medium
ALT237,TXN237,R001,Large Deposit,High
ALT238,TXN238,R001,Large Deposit,High
ALT239,TXN239,R005,Mule Account Pattern,High
ALT241,TXN241,R003,Structuring,High
ALT243,TXN243,R001,Large Deposit,High
ALT244,TXN244,R005,Mule Account Pattern,High
ALT245,TXN245,R006,Funnel Account,Low
ALT246,TXN246,R001,Large Deposit,High
ALT247,TXN247,R001,Large Deposit,High
ALT248,TXN248,R005,Mule Account Pattern,High
ALT250,TXN250,R001,Large Deposit,High
ALT251,TXN251,R001,Large Deposit,High
ALT252,TXN252,R002,Dormant Account Activity,Medium
ALT253,TXN253,R002,Dormant Account Activity,Medium
ALT255,TXN255,R001,Large Deposit,High
ALT256,TXN256,R001,Large Deposit,High
ALT260,TXN260,R001,Large Deposit,High
ALT261,TXN261,R002,Dormant Account Activity,Medium
ALT262,TXN262,R002,Dormant Account Activity,Medium
ALT263,TXN263,R002,Dormant Account Activity,Medium
ALT264,TXN264,R001,Large Deposit,High
ALT265,TXN265,R001,Large Deposit,High
ALT266,TXN266,R001,Large Deposit,High
ALT268,TXN268,R001,Large Deposit,High
ALT269,TXN269,R001,Large Deposit,High
ALT271,TXN271,R001,Large Deposit,High
ALT272,TXN272,R001,Large Deposit,High
ALT273,TXN273,R001,Large Deposit,High
ALT274,TXN274,R001,Large Deposit,High
ALT277,TXN277,R001,Large Deposit,High
ALT278,TXN278,R001,Large Deposit,High
ALT279,TXN279,R001,Large Deposit,High
ALT280,TXN280,R001,Large Deposit,High
ALT282,TXN282,R001,Large Deposit,High
ALT283,TXN283,R001,Large Deposit,High
ALT285,TXN285,R005,Mule Account Pattern,High
ALT287,TXN287,R001,Large Deposit,High
ALT288,TXN288,R002,Dormant Account Activity,Medium
ALT289,TXN289,R002,Dormant Account Activity,Medium
ALT290,TXN290,R001,Large Deposit,High
ALT291,TXN291,R001,Large Deposit,High
ALT293,TXN293,R001,Large Deposit,High
ALT294,TXN294,R005,Mule Account Pattern,High
ALT295,TXN295,R005,Mule Account Pattern,High
ALT296,TXN296,R005,Mule Account Pattern,High
ALT298,TXN298,R001,Large Deposit,High
ALT299,TXN299,R001,Large Deposit,High
ALT300,TXN300,R001,Large Deposit,High
ALT301,TXN301,R001,Large Deposit,High
ALT303,TXN303,R006,Funnel Account,Low
ALT304,TXN304,R006,Funnel Account,Low
ALT305,TXN305,R006,Funnel Account,Low
ALT306,TXN306,R001,Large Deposit,High
ALT308,TXN308,R002,Dormant Account Activity,Medium
ALT309,TXN309,R001,Large Deposit,High
ALT310,TXN310,R001,Large Deposit,High
ALT311,TXN311,R001,Large Deposit,High
ALT312,TXN312,R002,Dormant Account Activity,Medium
ALT313,TXN313,R002,Dormant Account Activity,Medium
ALT314,TXN314,R002,Dormant Account Activity,Medium
ALT315,TXN315,R001,Large Deposit,High
ALT316,TXN316,R005,Mule Account Pattern,High
ALT317,TXN317,R001,Large Deposit,High
ALT318,TXN318,R001,Large Deposit,High
ALT319,TXN319,R001,Large Deposit,High
ALT320,TXN320,R001,Large Deposit,High
ALT321,TXN321,R001,Large Deposit,High
ALT322,TXN322,R001,Large Deposit,High
ALT324,TXN324,R001,Large Deposit,High
ALT325,TXN325,R002,Dormant Account Activity,Medium
ALT326,TXN326,R001,Large Deposit,High
ALT327,TXN327,R006,Funnel Account,Low
ALT330,TXN330,R001,Large Deposit,High
ALT331,TXN331,R002,Dormant Account Activity,Medium
ALT335,TXN335,R001,Large Deposit,High
ALT336,TXN336,R002,Dormant Account Activity,Medium
ALT337,TXN337,R001,Large Deposit,High
ALT338,TXN338,R002,Dormant Account Activity,Medium
ALT339,TXN339,R001,Large Deposit,High
ALT340,TXN340,R001,Large Deposit,High
ALT341,TXN341,R002,Dormant Account Activity,Medium
ALT342,TXN342,R002,Dormant Account Activity,Medium
ALT343,TXN343,R001,Large Deposit,High
ALT344,TXN344,R001,Large Deposit,High
ALT345,TXN345,R002,Dormant Account Activity,Medium
ALT346,TXN346,R001,Large Deposit,High
ALT347,TXN347,R001,Large Deposit,High
ALT348,TXN348,R002,Dormant Account Activity,Medium
ALT349,TXN349,R002,Dormant Account Activity,Medium
ALT351,TXN351,R006,Funnel Account,Low
ALT352,TXN352,R001,Large Deposit,High
ALT354,TXN354,R001,Large Deposit,High
ALT355,TXN355,R001,Large Deposit,High
ALT357,TXN357,R002,Dormant Account Activity,Medium
ALT358,TXN358,R002,Dormant Account Activity,Medium
ALT359,TXN359,R002,Dormant Account Activity,Medium
ALT360,TXN360,R002,Dormant Account Activity,Medium
ALT362,TXN362,R001,Large Deposit,High
ALT364,TXN364,R002,Dormant Account Activity,Medium
ALT365,TXN365,R002,Dormant Account Activity,Medium
ALT366,TXN366,R001,Large Deposit,High
ALT367,TXN367,R005,Mule Account Pattern,High
ALT368,TXN368,R001,Large Deposit,High
ALT369,TXN369,R001,Large Deposit,High
ALT371,TXN371,R002,Dormant Account Activity,Medium
ALT372,TXN372,R002,Dormant Account Activity,Medium
ALT373,TXN373,R002,Dormant Account Activity,Medium
ALT375,TXN375,R001,Large Deposit,High
ALT377,TXN377,R002,Dormant Account Activity,Medium
ALT378,TXN378,R001,Large Deposit,High
ALT379,TXN379,R001,Large Deposit,High
ALT380,TXN380,R002,Dormant Account Activity,Medium
ALT382,TXN382,R001,Large Deposit,High
ALT383,TXN383,R001,Large Deposit,High
ALT385,TXN385,R001,Large Deposit,High
ALT386,TXN386,R001,Large Deposit,High
ALT387,TXN387,R002,Dormant Account Activity,Medium
ALT388,TXN388,R001,Large Deposit,High
ALT389,TXN389,R001,Large Deposit,High
ALT391,TXN391,R001,Large Deposit,High
ALT392,TXN392,R002,Dormant Account Activity,Medium
ALT395,TXN395,R002,Dormant Account Activity,Medium
ALT396,TXN396,R001,Large Deposit,High
ALT397,TXN397,R001,Large Deposit,High
ALT398,TXN398,R001,Large Deposit,High
ALT399,TXN399,R005,Mule Account Pattern,High
ALT400,TXN400,R002,Dormant Account Activity,Medium
ALT401,TXN401,R005,Mule Account Pattern,High
ALT402,TXN402,R001,Large Deposit,High
ALT403,TXN403,R002,Dormant Account Activity,Medium
ALT408,TXN408,R006,Funnel Account,Low
ALT411,TXN411,R001,Large Deposit,High
ALT414,TXN414,R002,Dormant Account Activity,Medium
ALT415,TXN415,R006,Funnel Account,Low
ALT416,TXN416,R001,Large Deposit,High
ALT417,TXN417,R002,Dormant Account Activity,Medium
ALT418,TXN418,R002,Dormant Account Activity,Medium
ALT421,TXN421,R001,Large Deposit,High
ALT424,TXN424,R001,Large Deposit,High
ALT427,TXN427,R002,Dormant Account Activity,Medium
ALT428,TXN428,R001,Large Deposit,High
ALT429,TXN429,R001,Large Deposit,High
ALT430,TXN430,R001,Large Deposit,High
ALT431,TXN431,R001,Large Deposit,High
ALT432,TXN432,R001,Large Deposit,High
ALT433,TXN433,R001,Large Deposit,High
ALT435,TXN435,R006,Funnel Account,Low
ALT436,TXN436,R001,Large Deposit,High
ALT437,TXN437,R006,Funnel Account,Low
ALT439,TXN439,R002,Dormant Account Activity,Medium
ALT440,TXN440,R001,Large Deposit,High
ALT441,TXN441,R001,Large Deposit,High
ALT442,TXN442,R001,Large Deposit,High
ALT443,TXN443,R001,Large Deposit,High
ALT444,TXN444,R001,Large Deposit,High
ALT445,TXN445,R001,Large Deposit,High
ALT446,TXN446,R002,Dormant Account Activity,Medium
ALT447,TXN447,R002,Dormant Account Activity,Medium
ALT449,TXN449,R001,Large Deposit,High
ALT450,TXN450,R001,Large Deposit,High
ALT451,TXN451,R001,Large Deposit,High
ALT452,TXN452,R001,Large Deposit,High
ALT454,TXN454,R001,Large Deposit,High
ALT455,TXN455,R001,Large Deposit,High
ALT456,TXN456,R001,Large Deposit,High
ALT459,TXN459,R001,Large Deposit,High
ALT460,TXN460,R002,Dormant Account Activity,Medium
ALT461,TXN461,R006,Funnel Account,Low
ALT463,TXN463,R001,Large Deposit,High
ALT464,TXN464,R002,Dormant Account Activity,Medium
ALT465,TXN465,R002,Dormant Account Activity,Medium
ALT467,TXN467,R001,Large Deposit,High
ALT468,TXN468,R001,Large Deposit,High
ALT469,TXN469,R001,Large Deposit,High
ALT470,TXN470,R002,Dormant Account Activity,Medium
ALT471,TXN471,R001,Large Deposit,High
ALT473,TXN473,R002,Dormant Account Activity,Medium
ALT475,TXN475,R001,Large Deposit,High
ALT476,TXN476,R001,Large Deposit,High
ALT477,TXN477,R001,Large Deposit,High
ALT478,TXN478,R006,Funnel Account,Low
ALT480,TXN480,R001,Large Deposit,High
ALT481,TXN481,R005,Mule Account Pattern,High
ALT482,TXN482,R006,Funnel Account,Low
ALT483,TXN483,R002,Dormant Account Activity,Medium
ALT484,TXN484,R006,Funnel Account,Low
ALT485,TXN485,R002,Dormant Account Activity,Medium
ALT486,TXN486,R002,Dormant Account Activity,Medium
ALT487,TXN487,R002,Dormant Account Activity,Medium
ALT489,TXN489,R002,Dormant Account Activity,Medium
ALT491,TXN491,R005,Mule Account Pattern,High
ALT492,TXN492,R006,Funnel Account,Low
ALT493,TXN493,R002,Dormant Account Activity,Medium
ALT494,TXN494,R001,Large Deposit,High
ALT495,TXN495,R002,Dormant Account Activity,Medium
ALT497,TXN497,R002,Dormant Account Activity,Medium
ALT498,TXN498,R001,Large Deposit,High
ALT499,TXN499,R001,Large Deposit,High
ALT500,TXN500,R001,Large Deposit,High
ALT504,TXN504,R002,Dormant Account Activity,Medium
ALT506,TXN506,R002,Dormant Account Activity,Medium
ALT507,TXN507,R006,Funnel Account,Low
ALT508,TXN508,R001,Large Deposit,High
ALT509,TXN509,R002,Dormant Account Activity,Medium
ALT510,TXN510,R001,Large Deposit,High
ALT511,TXN511,R001,Large Deposit,High
ALT512,TXN512,R001,Large Deposit,High
ALT513,TXN513,R003,Structuring,High
ALT514,TXN514,R002,Dormant Account Activity,Medium
ALT515,TXN515,R001,Large Deposit,High
ALT516,TXN516,R001,Large Deposit,High
ALT517,TXN517,R001,Large Deposit,High
ALT518,TXN518,R001,Large Deposit,High
ALT519,TXN519,R003,Structuring,High
ALT520,TXN520,R001,Large Deposit,High
ALT521,TXN521,R001,Large Deposit,High
ALT522,TXN522,R001,Large Deposit,High
ALT523,TXN523,R002,Dormant Account Activity,Medium
ALT524,TXN524,R001,Large Deposit,High
ALT525,TXN525,R002,Dormant Account Activity,Medium
ALT526,TXN526,R002,Dormant Account Activity,Medium
ALT527,TXN527,R001,Large Deposit,High
ALT528,TXN528,R001,Large Deposit,High
ALT529,TXN529,R001,Large Deposit,High
ALT530,TXN530,R002,Dormant Account Activity,Medium
ALT532,TXN532,R005,Mule Account Pattern,High
ALT535,TXN535,R001,Large Deposit,High
ALT538,TXN538,R001,Large Deposit,High
ALT541,TXN541,R001,Large Deposit,High
ALT542,TXN542,R002,Dormant Account Activity,Medium
ALT543,TXN543,R002,Dormant Account Activity,Medium
ALT544,TXN544,R001,Large Deposit,High
ALT545,TXN545,R001,Large Deposit,High
ALT547,TXN547,R005,Mule Account Pattern,High
ALT549,TXN549,R001,Large Deposit,High
ALT550,TXN550,R001,Large Deposit,High
ALT553,TXN553,R001,Large Deposit,High
ALT554,TXN554,R001,Large Deposit,High
ALT555,TXN555,R001,Large Deposit,High
ALT556,TXN556,R006,Funnel Account,Low
ALT557,TXN557,R001,Large Deposit,High
ALT559,TXN559,R002,Dormant Account Activity,Medium
ALT560,TXN560,R006,Funnel Account,Low
ALT562,TXN562,R002,Dormant Account Activity,Medium
ALT563,TXN563,R001,Large Deposit,High
ALT568,TXN568,R001,Large Deposit,High
ALT570,TXN570,R002,Dormant Account Activity,Medium
ALT571,TXN571,R001,Large Deposit,High
ALT572,TXN572,R002,Dormant Account Activity,Medium
ALT573,TXN573,R002,Dormant Account Activity,Medium
ALT574,TXN574,R001,Large Deposit,High
ALT577,TXN577,R002,Dormant Account Activity,Medium
ALT578,TXN578,R006,Funnel Account,Low
ALT579,TXN579,R001,Large Deposit,High
ALT580,TXN580,R005,Mule Account Pattern,High
ALT582,TXN582,R005,Mule Account Pattern,High
ALT583,TXN583,R002,Dormant Account Activity,Medium
ALT584,TXN584,R002,Dormant Account Activity,Medium
ALT585,TXN585,R006,Funnel Account,Low
ALT586,TXN586,R002,Dormant Account Activity,Medium
ALT587,TXN587,R001,Large Deposit,High
ALT588,TXN588,R001,Large Deposit,High
ALT590,TXN590,R001,Large Deposit,High
ALT591,TXN591,R001,Large Deposit,High
ALT592,TXN592,R002,Dormant Account Activity,Medium
ALT593,TXN593,R005,Mule Account Pattern,High
ALT595,TXN595,R006,Funnel Account,Low
ALT597,TXN597,R001,Large Deposit,High
ALT599,TXN599,R001,Large Deposit,High
ALT600,TXN600,R001,Large Deposit,High
ALT602,TXN602,R001,Large Deposit,High
ALT603,TXN603,R001,Large Deposit,High
ALT605,TXN605,R001,Large Deposit,High
ALT606,TXN606,R006,Funnel Account,Low
ALT607,TXN607,R001,Large Deposit,High
ALT608,TXN608,R001,Large Deposit,High
ALT610,TXN610,R001,Large Deposit,High
ALT611,TXN611,R005,Mule Account Pattern,High
ALT612,TXN612,R006,Funnel Account,Low
ALT613,TXN613,R001,Large Deposit,High
ALT614,TXN614,R002,Dormant Account Activity,Medium
ALT615,TXN615,R001,Large Deposit,High
ALT617,TXN617,R002,Dormant Account Activity,Medium
ALT619,TXN619,R001,Large Deposit,High
ALT620,TXN620,R002,Dormant Account Activity,Medium
ALT623,TXN623,R001,Large Deposit,High
ALT624,TXN624,R001,Large Deposit,High
ALT625,TXN625,R001,Large Deposit,High
ALT626,TXN626,R006,Funnel Account,Low
ALT630,TXN630,R005,Mule Account Pattern,High
ALT631,TXN631,R006,Funnel Account,Low
ALT632,TXN632,R002,Dormant Account Activity,Medium
ALT635,TXN635,R001,Large Deposit,High
ALT636,TXN636,R001,Large Deposit,High
ALT637,TXN637,R002,Dormant Account Activity,Medium
ALT638,TXN638,R001,Large Deposit,High
ALT639,TXN639,R001,Large Deposit,High
ALT640,TXN640,R002,Dormant Account Activity,Medium
ALT641,TXN641,R003,Structuring,High
ALT643,TXN643,R001,Large Deposit,High
ALT645,TXN645,R001,Large Deposit,High
ALT646,TXN646,R005,Mule Account Pattern,High
ALT648,TXN648,R002,Dormant Account Activity,Medium
ALT649,TXN649,R002,Dormant Account Activity,Medium
ALT650,TXN650,R001,Large Deposit,High
ALT652,TXN652,R001,Large Deposit,High
ALT653,TXN653,R001,Large Deposit,High
ALT655,TXN655,R001,Large Deposit,High
ALT658,TXN658,R001,Large Deposit,High
ALT660,TXN660,R001,Large Deposit,High
ALT661,TXN661,R001,Large Deposit,High
ALT662,TXN662,R006,Funnel Account,Low
ALT663,TXN663,R002,Dormant Account Activity,Medium
ALT664,TXN664,R002,Dormant Account Activity,Medium
ALT666,TXN666,R002,Dormant Account Activity,Medium
ALT667,TXN667,R005,Mule Account Pattern,High
ALT669,TXN669,R001,Large Deposit,High
ALT670,TXN670,R001,Large Deposit,High
ALT671,TXN671,R001,Large Deposit,High
ALT672,TXN672,R001,Large Deposit,High
ALT674,TXN674,R005,Mule Account Pattern,High
ALT677,TXN677,R001,Large Deposit,High
ALT678,TXN678,R001,Large Deposit,High
ALT679,TXN679,R001,Large Deposit,High
ALT680,TXN680,R002,Dormant Account Activity,Medium
ALT682,TXN682,R003,Structuring,High
ALT684,TXN684,R005,Mule Account Pattern,High
ALT685,TXN685,R001,Large Deposit,High
ALT686,TXN686,R006,Funnel Account,Low
ALT687,TXN687,R001,Large Deposit,High
ALT688,TXN688,R001,Large Deposit,High
ALT691,TXN691,R002,Dormant Account Activity,Medium
ALT692,TXN692,R001,Large Deposit,High
ALT694,TXN694,R001,Large Deposit,High
ALT695,TXN695,R001,Large Deposit,High
ALT696,TXN696,R001,Large Deposit,High
ALT697,TXN697,R002,Dormant Account Activity,Medium
ALT699,TXN699,R006,Funnel Account,Low
ALT700,TXN700,R002,Dormant Account Activity,Medium
ALT702,TXN702,R002,Dormant Account Activity,Medium
ALT703,TXN703,R002,Dormant Account Activity,Medium
ALT704,TXN704,R005,Mule Account Pattern,High
ALT707,TXN707,R001,Large Deposit,High
ALT708,TXN708,R001,Large Deposit,High
ALT709,TXN709,R002,Dormant Account Activity,Medium
ALT712,TXN712,R001,Large Deposit,High
ALT713,TXN713,R002,Dormant Account Activity,Medium
ALT714,TXN714,R001,Large Deposit,High
ALT715,TXN715,R001,Large Deposit,High
ALT718,TXN718,R005,Mule Account Pattern,High
ALT719,TXN719,R001,Large Deposit,High
ALT720,TXN720,R001,Large Deposit,High
ALT721,TXN721,R006,Funnel Account,Low
ALT723,TXN723,R001,Large Deposit,High
ALT724,TXN724,R005,Mule Account Pattern,High
ALT725,TXN725,R002,Dormant Account Activity,Medium
ALT726,TXN726,R005,Mule Account Pattern,High
ALT727,TXN727,R001,Large Deposit,High
ALT728,TXN728,R005,Mule Account Pattern,High
ALT729,TXN729,R002,Dormant Account Activity,Medium
ALT730,TXN730,R001,Large Deposit,High
ALT732,TXN732,R001,Large Deposit,High
ALT733,TXN733,R002,Dormant Account Activity,Medium
ALT734,TXN734,R001,Large Deposit,High
ALT735,TXN735,R002,Dormant Account Activity,Medium
ALT736,TXN736,R001,Large Deposit,High
ALT737,TXN737,R001,Large Deposit,High
ALT738,TXN738,R001,Large Deposit,High
ALT739,TXN739,R006,Funnel Account,Low
ALT740,TXN740,R002,Dormant Account Activity,Medium
ALT741,TXN741,R002,Dormant Account Activity,Medium
ALT743,TXN743,R002,Dormant Account Activity,Medium
ALT745,TXN745,R001,Large Deposit,High
ALT746,TXN746,R001,Large Deposit,High
ALT747,TXN747,R001,Large Deposit,High
ALT748,TXN748,R006,Funnel Account,Low
ALT750,TXN750,R001,Large Deposit,High
ALT751,TXN751,R005,Mule Account Pattern,High
ALT752,TXN752,R001,Large Deposit,High
ALT753,TXN753,R001,Large Deposit,High
ALT754,TXN754,R002,Dormant Account Activity,Medium
ALT756,TXN756,R002,Dormant Account Activity,Medium
ALT757,TXN757,R006,Funnel Account,Low
ALT758,TXN758,R002,Dormant Account Activity,Medium
ALT759,TXN759,R001,Large Deposit,High
ALT760,TXN760,R001,Large Deposit,High
ALT761,TXN761,R002,Dormant Account Activity,Medium
ALT763,TXN763,R001,Large Deposit,High
ALT769,TXN769,R006,Funnel Account,Low
ALT770,TXN770,R006,Funnel Account,Low
ALT771,TXN771,R002,Dormant Account Activity,Medium
ALT773,TXN773,R001,Large Deposit,High
ALT774,TXN774,R002,Dormant Account Activity,Medium
ALT775,TXN775,R001,Large Deposit,High
ALT776,TXN776,R002,Dormant Account Activity,Medium
ALT778,TXN778,R006,Funnel Account,Low
ALT779,TXN779,R005,Mule Account Pattern,High
ALT780,TXN780,R002,Dormant Account Activity,Medium
ALT781,TXN781,R006,Funnel Account,Low
ALT782,TXN782,R001,Large Deposit,High
ALT784,TXN784,R006,Funnel Account,Low
ALT786,TXN786,R002,Dormant Account Activity,Medium
ALT787,TXN787,R002,Dormant Account Activity,Medium
ALT788,TXN788,R001,Large Deposit,High
ALT789,TXN789,R001,Large Deposit,High
ALT790,TXN790,R001,Large Deposit,High
ALT792,TXN792,R005,Mule Account Pattern,High
ALT793,TXN793,R001,Large Deposit,High
ALT794,TXN794,R001,Large Deposit,High
ALT796,TXN796,R001,Large Deposit,High
ALT797,TXN797,R002,Dormant Account Activity,Medium
ALT798,TXN798,R005,Mule Account Pattern,High
ALT800,TXN800,R002,Dormant Account Activity,Medium
ALT801,TXN801,R001,Large Deposit,High
ALT804,TXN804,R002,Dormant Account Activity,Medium
ALT805,TXN805,R001,Large Deposit,High
ALT807,TXN807,R001,Large Deposit,High
